differential,release_year,genre,type,weeks_on_billboard,peak_billboard_position,spotify_popularity,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,ave_age_at_top_500,years_between
103,1979,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,39,4,Female,7814,1979,25.5,0
-47,1964,Big Band/Jazz,Studio,2,105,47,2,Male,3858,1964,35,0
80,2005,Electronic,Studio,2,190,44,1,Female,1975,2005,30,0
75,1988,Country/Folk/Country Rock/Folk Rock,Studio,64.27097902097903,201,37,1,Female,1953,1979,35,9
61,1971,Country/Folk/Country Rock/Folk Rock,Studio,17,81,51,1,Female,1932,1963,39,8
60,2007,Punk/Post-Punk/New Wave/Power Pop,Studio,34,2,73,1,Female,1981,1999,26,8
57,2005,Indie/Alternative Rock,Studio,21,7,51,1,Female,1977,1996,28,9
55,1971,Big Band/Jazz,Studio,64.27097902097903,201,43,1,Female,1937,1968,34,3
50,1969,Soul/Gospel/R&B,Studio,54,1,54,1,Female,1937,1969,32,0
-14,1965,Country/Folk/Country Rock/Folk Rock,Studio,47,3,64,1,Male,1941,1962,24,3
-30,1965,Punk/Post-Punk/New Wave/Power Pop,Studio,70,1,76,4,Male,7765,1963,23.75,2
41,2017,Punk/Post-Punk/New Wave/Power Pop,Studio,43,1,78,1,Female,1996,2013,21,4
38,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,7,181,30,1,Female,1947,1967,21,1
29,2017,Soul/Gospel/R&B,Studio,334,3,49,1,Female,1989,2017,28,0
26,1996,Punk/Post-Punk/New Wave/Power Pop,Studio,63,6,56,1,Female,1962,1991,34,5
22,1994,Latin,Studio,1,183,74,1,Female,1971,1989,23,5
21,2016,Country/Folk/Country Rock/Folk Rock,Studio,43,3,53,1,Female,1983,2005,33,11
17,2011,Electronic,Studio,53,1,65,1,Female,1986,2008,25,3
-19,1965,Big Band/Jazz,Studio,12,64,47,1,Male,1926,1957,39,8
-104,1965,Soul/Gospel/R&B,Studio,34,75,59,1,Male,1941,1964,24,1
-150,1965,Country/Folk/Country Rock/Folk Rock,Studio,43,6,58,1,Male,1941,1962,24,3
5,1998,Latin,Studio,22,131,76,1,Female,1977,1991,21,7
66,1965,Punk/Post-Punk/New Wave/Power Pop,Studio,46,1,73,4,Male,7765,1963,23.75,2
