"","differential","release_year","genre","type","weeks_on_billboard","peak_billboard_position","spotify_popularity","artist_member_count","artist_gender","artist_birth_year_sum","debut_album_release_year","ave_age_at_top_500","years_between"
"60",113,1972,"Soul/Gospel/R&B","Studio",31,11,53,1,"Female",1942,1961,30,11
"61",112,2005,"Soul/Gospel/R&B","Studio",74,1,63,1,"Female",1969,1990,36,15
"62",110,1999,"Punk/Post-Punk/New Wave/Power Pop","Studio",6,144,24,1,"Female",1979,1999,20,0
"63",108,2014,"Punk/Post-Punk/New Wave/Power Pop","Studio",464,1,79,1,"Female",1989,2006,25,8
"64",107,1980,"Funk/Disco","Studio",67,2,69,1,"Female",1944,1970,36,10
"65",104,2019,"Indie/Alternative Rock","Studio",240,1,86,1,"Female",2001,2019,18,0
"66",103,1979,"Punk/Post-Punk/New Wave/Power Pop","Studio",64.270979020979,201,39,4,"Female",7814,1979,25.5,0
"67",-47,1964,"Big Band/Jazz","Studio",2,105,47,2,"Male",3858,1964,35,0
"68",80,2005,"Electronic","Studio",2,190,44,1,"Female",1975,2005,30,0
"69",75,1988,"Country/Folk/Country Rock/Folk Rock","Studio",64.270979020979,201,37,1,"Female",1953,1979,35,9
"70",61,1971,"Country/Folk/Country Rock/Folk Rock","Studio",17,81,51,1,"Female",1932,1963,39,8
"71",60,2007,"Punk/Post-Punk/New Wave/Power Pop","Studio",34,2,73,1,"Female",1981,1999,26,8
"72",57,2005,"Indie/Alternative Rock","Studio",21,7,51,1,"Female",1977,1996,28,9
"73",55,1971,"Big Band/Jazz","Studio",64.270979020979,201,43,1,"Female",1937,1968,34,3
"74",50,1969,"Soul/Gospel/R&B","Studio",54,1,54,1,"Female",1937,1969,32,0
"75",-14,1965,"Country/Folk/Country Rock/Folk Rock","Studio",47,3,64,1,"Male",1941,1962,24,3
"76",-30,1965,"Punk/Post-Punk/New Wave/Power Pop","Studio",70,1,76,4,"Male",7765,1963,23.75,2
"77",41,2017,"Punk/Post-Punk/New Wave/Power Pop","Studio",43,1,78,1,"Female",1996,2013,21,4
"78",38,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",7,181,30,1,"Female",1947,1967,21,1
"79",29,2017,"Soul/Gospel/R&B","Studio",334,3,49,1,"Female",1989,2017,28,0
"80",26,1996,"Punk/Post-Punk/New Wave/Power Pop","Studio",63,6,56,1,"Female",1962,1991,34,5
"81",22,1994,"Latin","Studio",1,183,74,1,"Female",1971,1989,23,5
"82",21,2016,"Country/Folk/Country Rock/Folk Rock","Studio",43,3,53,1,"Female",1983,2005,33,11
"83",17,2011,"Electronic","Studio",53,1,65,1,"Female",1986,2008,25,3
"84",-19,1965,"Big Band/Jazz","Studio",12,64,47,1,"Male",1926,1957,39,8
"85",-104,1965,"Soul/Gospel/R&B","Studio",34,75,59,1,"Male",1941,1964,24,1
"86",-150,1965,"Country/Folk/Country Rock/Folk Rock","Studio",43,6,58,1,"Male",1941,1962,24,3
"87",5,1998,"Latin","Studio",22,131,76,1,"Female",1977,1991,21,7
"88",66,1965,"Punk/Post-Punk/New Wave/Power Pop","Studio",46,1,73,4,"Male",7765,1963,23.75,2
"89",-55,1965,"Punk/Post-Punk/New Wave/Power Pop","Studio",38,6,54,5,"Male",9717,1965,21.6,0
"90",-158,1965,"Blues/Blues Rock","Live",8,78,38,1,"Male",1925,1956,40,9
"91",-196,1965,"Punk/Post-Punk/New Wave/Power Pop","Studio",50,4,38,5,"Male",9715,1962,22,3
"92",-387,1965,"Blues/Blues Rock","Studio",65,1,69,5,"Male",9705,1964,24,1
"93",-320,1965,"Blues/Blues Rock","Studio",53,5,43,5,"Male",9705,1964,24,1
"94",-265,1965,"Blues/Blues Rock","Studio",64.270979020979,201,56,4,"Male",7779,1965,20.25,0
"95",-148,1965,"Blues/Blues Rock","Studio",33,53,48,5,"Male",9718,1964,21.4,1
"96",-25,1965,"Blues/Blues Rock","Studio",6,136,36,6,"Male",11642,1965,24.66666667,0
"97",0,1966,"Punk/Post-Punk/New Wave/Power Pop","Studio",40,10,62,6,"Male",11657,1962,23.16666667,4
